# S target l2 l1
78.857715 4.428858 4.698565 5.954118
79.058116 4.529058 4.806280 6.090491
79.258517 4.629259 4.913996 6.226864
79.458918 4.729459 5.021711 6.363237
79.659319 4.829659 5.129426 6.499610
79.859719 4.929860 5.237142 6.635983
80.060120 5.094435 5.387132 6.772356
80.260521 5.409111 5.635763 6.908730
80.460922 5.723382 5.884394 7.045103
80.661323 6.036936 6.133026 7.181476
80.861723 6.349462 6.381657 7.317849
81.062124 6.660652 6.630288 7.454222
81.262525 6.970196 6.878919 7.590595
81.462926 7.277788 7.127550 7.726968
81.663327 7.583122 7.376181 7.863341
81.863727 7.885898 7.624813 7.999714
82.064128 8.185814 7.873444 8.136087
82.264529 8.482573 8.122075 8.272461
82.464930 8.775882 8.370706 8.408834
82.665331 9.065449 8.619337 8.545207
82.865731 9.350988 8.867968 8.681580
83.066132 9.632216 9.116600 8.817953
83.266533 9.908855 9.365231 8.954326
83.466934 10.180629 9.613862 9.090699
83.667335 10.447270 9.862493 9.227072
83.867735 10.708514 10.111124 9.363445
84.068136 10.964102 10.359755 9.499818
84.268537 11.213780 10.608387 9.636192
84.468938 11.457301 10.857018 9.772565
84.669339 11.694425 11.105649 9.908938
84.869739 11.924915 11.354280 10.045311
85.070140 12.148543 11.602911 10.181684
85.270541 12.365089 11.851542 10.318057
85.470942 12.574337 12.100173 10.454430
85.671343 12.776080 12.348805 10.590803
85.871743 12.970118 12.597436 10.727176
86.072144 13.156259 12.846067 10.863549
86.272545 13.334319 13.094698 10.999923
86.472946 13.504120 13.343329 11.136296
86.673347 13.665496 13.591960 11.272669
86.873747 13.818285 13.840592 11.409042
87.074148 13.962337 14.089223 11.545415
87.274549 14.097508 14.337854 11.681788
87.474950 14.223666 14.586485 11.818161
87.675351 14.340684 14.835116 11.954534
87.875752 14.448447 15.083747 12.090907
88.076152 14.546848 15.332379 12.227280
88.276553 14.635790 15.581010 12.363654
88.476954 14.715185 15.829641 12.500027
88.677355 14.784953 16.078272 12.636400
88.877756 14.845026 16.326903 12.772773
89.078156 14.895344 16.575534 12.909146
89.278557 14.935857 16.824166 13.045519
89.478958 14.966526 17.072797 13.181892
89.679359 14.987319 17.321428 13.318265
89.879760 14.998216 17.570059 13.454638
90.080160 14.999207 17.580248 13.549040
90.280561 14.990291 17.232772 13.580484
90.480962 14.971475 16.885296 13.611928
90.681363 14.942779 16.537821 13.643372
90.881764 14.904232 16.190345 13.674817
91.082164 14.855871 15.842869 13.706261
91.282565 14.797745 15.495394 13.737705
91.482966 14.729911 15.147918 13.769149
91.683367 14.652436 14.800442 13.800593
91.883768 14.565396 14.452967 13.832038
92.084168 14.468880 14.105491 13.863482
92.284569 14.362981 13.758015 13.894926
92.484970 14.247804 13.410540 13.926370
92.685371 14.123465 13.063064 13.957814
92.885772 13.990086 12.715588 13.989258
93.086172 13.847799 12.368113 14.020703
93.286573 13.696745 12.020637 14.052147
93.486974 13.537075 11.673161 14.083591
93.687375 13.368945 11.325686 14.115035
93.887776 13.192523 10.978210 14.146479
94.088176 13.007984 10.630734 14.177924
94.288577 12.815510 10.283259 14.209368
94.488978 12.615292 9.935783 14.240812
94.689379 12.407529 9.588307 14.272256
94.889780 12.192426 9.240832 14.303700
95.090180 11.970197 8.893356 14.335144
95.290581 11.741061 8.545880 14.366589
95.490982 11.505245 8.198405 14.398033
95.691383 11.262985 7.850929 14.429477
95.891784 11.014518 7.503453 14.460921
96.092184 10.760092 7.155978 14.492365
